ID,YEAR,MONTH,DATE,TIME,TRAIN_ID,LINE_ID,PLACE_ID,ST1_ID,ST2_ID,DELAY_ID,OPERATOR,CAUSE_ID,DETAIL
11,2021,กุมภาพันธ์,2021-02-05,17.45,13,3,1,BL12,,B,BEM,1,เวลา 17.45 น. ขบวนรถไฟฟ้าหมายเลข 13 เกิดเหตุระบบจ่ายไฟฟ้าย่อยภายในขบวนรถขัดข้อง (Auxiliary Power Supply Fault) ที่สถานีกำแพงเพชร ฝั่งขาขึ้น (ปลายทางสถานีท่าพระ) ดำเนินการถอนรถออกจากการให้บริการ ล่าช้า 3 นาที โดยมีขบวนรถให้บริการทดแทน
12,2021,กุมภาพันธ์,2021-02-07,15.51,City02,4,1,A3,,C,SRTET,8,"เวลา 15.51 น. ที่สถานีบ้านทับช้าง ฝั่งขาออกนอกเมือง มีรถไฟ City02 หยุดจอดชั่วขณะ เนื่องจากมีการกดปุ่มหยุดรถไฟฉุกเฉิน ส่งผลให้รถไฟขบวนดังกล่าวล่าช้าจากตารางเดินรถ 10 นาที 
เวลา 16.39 น.รถไฟทุกขบวนให้บริการตรงตามตารางเดินรถ"
13,2021,กุมภาพันธ์,2021-02-08,18.2,46,1,2,N8,N9,O,BTS,14,18.20 น. ขบวนรถไฟฟ้าหมายเลข46 ขัดข้องระหว่างสถานีหมอชิต กับ สถานีห้าแยกลาดพร้าว ฝั่งมุ่งหน้าสถานีปลายทางคูคต ทำให้ขบวนรถไฟฟ้าไม่สามารถเคลื่อนที่ให้บริการต่อได้ เพื่อความปลอดภัยในการให้บริการ จึงทำการเปลี่ยนถ่ายผดส. และ นำออกจากการให้บริการ
14,2021,กุมภาพันธ์,2021-02-10,7.54,10,1,1,N8,,C,BTS,2,07.54 น. ขบวนรถไฟฟ้าหมายเลข 10 ระบบเบรกขัดข้องที่สถานีหมอชิต ฝั่งมุ่งหน้าสถานีปลายทางคูคต ต่อมา 08.10 น. ทำการแก้ไขเรียบร้อย การเดินรถสายสุขุมวิทสามารถเดินรถได้ตามปกติ
15,2021,กุมภาพันธ์,2021-02-12,16.43,City01,4,,,,O,SRTET,1,เวลา 16.43 น.ขบวน CITY01 ฝั่งออกนอกเมือง เกิดแรงดันไฟแบตเตอรี่ต่ำไม่สามารถเคลื่อนขบวนรถได้ ทำการขนถ่ายผู้โดยสารออกจากขบวนรถ และย้ายมาใช้ชานชาลากลางฝั่งออกนอกเมืองในการรับ-ส่งผู้โดยสาร
16,2021,กุมภาพันธ์,2021-02-22,22.41,65,1,1,N17,,O,BTS,3,22.41 ขบวนรถหมายเลข 65 ระบบประตูขัดข้องที่สถานีวัดพระศรีมหาธาตุ ฝั่งมุ่งหน้าสถานีปลายทางเคหะฯ แก้ไขไม่ได้ ทำการเปลี่ยนถ่ายผู้โดยสารและนำออกจากการให้บริการแล้ว การเดินรถในสายสุขุมวิท สามารถเดินรถได้ตามปกติ
17,2021,กุมภาพันธ์,2021-02-23,20.05,40,3,1,BL37,,B,BEM,2,20.05 น. ขบวนรถไฟฟ้าหมายเลข 40 เกิดเหตุระบบแรงดันลมขัดข้อง ที่สถานีบางแค ฝั่งขาขึ้น (ปลายทางสถานีท่าพระ) ดำเนินการถอนรถออกจากการให้บริการ ล่าช้า 2 นาที โดยไม่มีขบวนรถให้บริการแทน เนื่องจากเป็นขบวนรถสิเนสุดการให้บริการหลังชั่วโมงเร่งด่วนเย็น
18,2021,กุมภาพันธ์,2021-02-24,17.23,49,1,2,N9,N8,O,BTS,1,17.23-17.35 น. ขบวนรถไฟฟ้าหมายเลข 49 ระบบขับเคลื่อนขัดข้องระหว่างสถานีห้าแยกลาดพร้าวและสถานีหมอชิต ฝั่งมุ่งหน้าสถานีปลายทางเคหะฯ และ ทำการแก้ไขได้เรียบร้อย ทำให้ช่วงเวลาดังกล่าวเกิดความล่าช้าในสายสุขุมวิท
19,2021,กุมภาพันธ์,2021-02-25,13.51,40,1,2,N8,N7,O,BTS,2,"13.51ขบวนรถหมายเลข40 ระบบเบรคขัดข้องระหว่างสถานีหมอชิตกับสถานีสะพานควาย ฝั่งมุ่งหน้าสถานีปลายทางเคหะฯ ไม่สามารถทำการแก้ไขได้ ให้ทำการเปลี่ยนถ่ายผู้โดยสาร และนำออกจากการให้บริการ
-14.06 การเดินรถในสายสุขุมวิทสามารถเดินรถได้ตามปกติ"
20,2021,มีนาคม,2021-02-26,12.12,9,3,1,BL15,,B,BEM,1,เวลา 12.12 น. ขบวนรถไฟฟ้าหมายเลข 09 เกิดเหตุระบบขับเคลื่อนรถไฟฟ้าอัตโนมัติขัดข้อง จำนวน 1 ขบวน ที่สถานีจรัญฯ13 ฝั่งขาล่อง (ปลายทางสถานีหลักสอง) ดำเนินการถอนรถออกจากการให้บริการ ล่าช้า 3 นาที โดยมีขบวนรถให้บริการทดแทน
21,2021,มีนาคม,2021-03-02,21.05,Express04,4,1,A1,,O,SRTET,1,เวลา 21.05 น. ยกเลิก รถไฟ 1 เที่ยว ขาเข้าเมือง รอบเวลา 21.00 น. ที่สถานีสุวรรณภูมิ เนื่องจากรถไฟฟ้า Express 04 ขัดข้อง ไม่สามารถเปิดระบบรถไฟฟ้าได้ และ นำรถไฟ City 02 มาให้บริการแทน ที่สถานีมักกะสันฝั่งขาเข้าเมือง
22,2021,มีนาคม,2021-03-03,6.13,19,3,1,BL15,,B,BEM,3,เวลา 6.13 น. ขบวนรถไฟฟ้าหมายเลข 19 เกิดเหตุประตูรถไฟฟ้าขัดข้อง ที่สถานีลาดพร้าว ฝั่งขาขึ้น (ปลายทางสถานีท่าพระ) ดำเนินการถอนรถออกจากการให้บริการ ล่าช้า 2 นาที โดยมีขบวนรถให้บริการทดแทน
23,2021,มีนาคม,2021-03-03,8.52,35,3,1,BL19,,B,BEM,8,เวลา 8.52 น. ขบวนรถไฟฟ้าหมายเลข 35 เกิดเหตุระบบอาณัติสัญญาณ (Signalling) ของขบวนรถไฟฟ้าขัดข้อง ที่สถานีศูนย์วัฒนธรรม ฝั่งขาขึ้น (ปลายทางสถานีท่าพระ) ดำเนินการถอนรถออกจากการให้บริการ ล่าช้า 3 นาที โดยมีขบวนรถให้บริการทดแทน
24,2021,มีนาคม,2021-03-04,18.06,Express04,4,1,A4,,C,SRTET,2,เวลา 18.06 น.EX04 เกิดระบบเบรคขัดข้องทำการขนถ่ายผู้โดยสารที่สถานีหัวหมากชานชาลากลางฝั่งมุ่งหน้าเข้าเมือง รถไฟล่าช้าจากตารางเวลา 7 นาที
25,2021,มีนาคม,2021-03-05,8.45,20,1,1,N11,,O,BTS,3,08.45 น. ขบวนรถไฟฟ้าหมายเลข 20 ระบบประตูขัดข้องที่สถานีรัชโยธิน ฝั่งมุ่งหน้าสถานีปลายทางคูคต ไม่สามารถทำการแก้ไขได้ ทำการเปลี่ยนถ่ายผู้โดยสาร และนำออกจากการให้บริการ
